Criado no curso de Introdução à Computação Gráfica
Departamento de Matemática - UFS - Prof Evilson Vieira
Aluno: Mateus Figueiredo Pereira
Tons, Qtde de pixels
0, 9856
1, 6611
2, 4677
3, 3398
4, 2529
5, 1951
6, 1836
7, 1831
8, 2251
9, 3352
10, 3526
11, 4967
12, 3569
13, 3338
14, 3359
15, 4124
16, 4620
17, 4117
18, 4555
19, 4415
20, 4820
21, 5234
22, 4761
23, 5396
24, 4771
25, 4406
26, 4196
27, 3791
28, 3787
29, 4103
30, 4772
31, 3882
32, 3285
33, 3096
34, 3251
35, 2938
36, 2502
37, 2501
38, 2655
39, 2531
40, 2146
41, 1905
42, 1836
43, 1649
44, 1552
45, 1408
46, 1429
47, 1426
48, 1368
49, 1399
50, 1423
51, 1353
52, 1402
53, 1322
54, 1304
55, 1257
56, 1161
57, 1243
58, 1269
59, 1295
60, 1249
61, 1244
62, 1275
63, 1399
64, 1422
65, 1445
66, 1253
67, 1221
68, 1224
69, 1100
70, 1145
71, 1139
72, 1026
73, 915
74, 872
75, 879
76, 789
77, 708
78, 785
79, 761
80, 857
81, 900
82, 917
83, 896
84, 891
85, 775
86, 621
87, 579
88, 459
89, 397
90, 383
91, 421
92, 351
93, 401
94, 414
95, 370
96, 403
97, 378
98, 373
99, 346
100, 364
101, 313
102, 334
103, 305
104, 337
105, 364
106, 274
107, 280
108, 302
109, 300
110, 278
111, 255
112, 284
113, 257
114, 251
115, 260
116, 272
117, 297
118, 241
119, 266
120, 252
121, 275
122, 261
123, 233
124, 244
125, 254
126, 230
127, 212
128, 254
129, 231
130, 218
131, 245
132, 204
133, 236
134, 229
135, 248
136, 211
137, 181
138, 211
139, 246
140, 214
141, 221
142, 217
143, 212
144, 195
145, 224
146, 202
147, 217
148, 212
149, 205
150, 216
151, 204
152, 173
153, 188
154, 216
155, 194
156, 200
157, 222
158, 219
159, 232
160, 212
161, 214
162, 231
163, 234
164, 256
165, 230
166, 238
167, 220
168, 226
169, 253
170, 262
171, 251
172, 244
173, 237
174, 250
175, 282
176, 276
177, 249
178, 245
179, 228
180, 199
181, 253
182, 225
183, 229
184, 201
185, 178
186, 203
187, 199
188, 178
189, 202
190, 165
191, 180
192, 191
193, 168
194, 145
195, 170
196, 162
197, 185
198, 172
199, 160
200, 153
201, 150
202, 155
203, 170
204, 179
205, 182
206, 177
207, 179
208, 206
209, 163
210, 171
211, 171
212, 164
213, 154
214, 158
215, 174
216, 164
217, 187
218, 173
219, 179
220, 156
221, 221
222, 181
223, 233
224, 208
225, 231
226, 241
227, 251
228, 248
229, 256
230, 241
231, 239
232, 274
233, 260
234, 224
235, 234
236, 225
237, 199
238, 179
239, 177
240, 154
241, 143
242, 150
243, 148
244, 133
245, 102
246, 89
247, 67
248, 55
249, 52
250, 22
251, 9
252, 2
253, 1
254, 1
255, 0
